wandb: Currently logged in as: lukasskellijs (lgwlab) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.22.3
wandb: Run data is saved locally in runs/analysis-hg-phase-bs2/wandb/run-20260410_083634-rn6f0az8
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run analysis-hg-phase-bs2
wandb: ⭐️ View project at
Starting training for 1500 iterations...
Iteration 150/1500: Loss=0.975093, MSE=0.974497, Pen=0.000596, Best=0.975093 (iter 150)
Iteration 300/1500: Loss=0.827535, MSE=0.825656, Pen=0.001880, Best=0.806066 (iter 242)
Iteration 450/1500: Loss=0.800830, MSE=0.798925, Pen=0.001905, Best=0.800830 (iter 450)
Iteration 600/1500: Loss=0.776665, MSE=0.775534, Pen=0.001131, Best=0.776665 (iter 600)
Iteration 750/1500: Loss=0.764026, MSE=0.762742, Pen=0.001284, Best=0.762721 (iter 749)
Iteration 900/1500: Loss=0.752375, MSE=0.750983, Pen=0.001392, Best=0.752375 (iter 900)
Iteration 1050/1500: Loss=0.733976, MSE=0.732821, Pen=0.001155, Best=0.733885 (iter 1049)
Iteration 1200/1500: Loss=0.727939, MSE=0.726829, Pen=0.001110, Best=0.727929 (iter 1199)
Iteration 1350/1500: Loss=0.718927, MSE=0.717883, Pen=0.001044, Best=0.718927 (iter 1350)
Iteration 1500/1500: Loss=0.711302, MSE=0.710378, Pen=0.000924, Best=0.711302 (iter 1500)

Restoring best model from iteration 1500 (loss=0.711302)

Saving model parameters...
Best model parameters (iteration 1500, loss=0.711302) saved to runs/analysis-hg-phase-bs2/parameters
Transformation 'identity' matrix saved to runs/analysis-hg-phase-bs2/parameters/transformation_matrix.npy

Generating unitary transformation comparison...
Unitary comparison plot saved to runs/analysis-hg-phase-bs2/plots/unitary_comparison.png
  Fidelity: 0.4486
  MSE: 0.007104
Actual unitary matrix saved to runs/analysis-hg-phase-bs2/parameters/actual_unitary_matrix.npy
Run summary saved to runs/analysis-hg-phase-bs2/summary.json

================================================================================
Training completed successfully!
Results saved to: runs/analysis-hg-phase-bs2
================================================================================
   2%|▏         | 27/1500 [01:53<1:28:47,  3.62s/it]
Training:   2%|▏         | 28/1500 [01:57<1:34:53,  3.87s/it]
Training:   2%|▏         | 29/1500 [02:00<1:27:56,  3.59s/it]
Training:   2%|▏         | 30/1500 [02:05<1:34:32,  3.86s/it]
Training:   2%|▏         | 31/1500 [02:09<1:39:41,  4.07s/it]
Training:   2%|▏         | 32/1500 [02:14<1:42:25,  4.19s/it]
Training:   2%|▏         | 33/1500 [02:18<1:44:16,  4.26s/it]
Training:   2%|▏         | 34/1500 [02:23<1:45:24,  4.31s/it]
Training:   2%|▏         | 35/1500 [02:27<1:46:44,  4.37s/it]
Training:   2%|▏         | 36/1500 [02:32<1:47:06,  4.39s/it]
Training:   2%|▏         | 37/1500 [02:36<1:47:52,  4.42s/it]
Training:   3%|▎         | 38/1500 [02:41<1:48:15,  4.44s/it]
Training:   3%|▎         | 39/1500 [02:44<1:43:12,  4.24s/it]
Training:   3%|▎         | 40/1500 [02:45<1:15:27,  3.10s/it]
Training:   3%|▎         | 41/1500 [02:49<1:25:39,  3.52s/it]
Training:   3%|▎         | 42/1500 [02:54<1:32:14,  3.80s/it]
Training:   3%|▎         | 43/1500 [02:56<1:20:38,  3.32s/it]
Training:   3%|▎         | 44/1500 [02:58<1:12:37,  2.99s/it]
Training:   3%|▎         | 45/1500 [03:03<1:23:10,  3.43s/it]
Training:   3%|▎         | 46/1500 [03:06<1:22:17,  3.40s/it]
Training:   3%|▎         | 47/1500 [03:11<1:30:21,  3.73s/it]
Training:   3%|▎         | 48/1500 [03:15<1:36:00,  3.97s/it]
Training:   3%|▎         | 49/1500 [03:20<1:39:23,  4.11s/it]
Training:   3%|▎         | 50/1500 [03:23<1:36:57,  4.01s/it]
Training:   3%|▎         | 51/1500 [03:27<1:35:01,  3.94s/it]
Training:   3%|▎         | 52/1500 [03:32<1:39:07,  4.11s/it]
Training:   4%|▎         | 53/1500 [03:36<1:42:03,  4.23s/it]
Training:   4%|▎         | 54/1500 [03:40<1:40:33,  4.17s/it]
Training:   4%|▎         | 55/1500 [03:41<1:16:48,  3.19s/it]
Training:   4%|▎         | 56/1500 [03:46<1:26:10,  3.58s/it]
